"sku","qty"
"MFS-0251",100
"MFS-0252",100
"MFS-0253",100
"MFS-0254",100
"MFSC-0001",50
"MFSC-0002",50
"MFSC-0003",50
"MFSC-0004",50
"MFSC-0005",50
"MFSC-0006",50
"MFSC-0007",50
"MFSC-0008",50
"MFSC-0009",50
"MFSC-0010",50
"MFSC-0011",50
"MFSC-0012",50
"MFSC-0013",50
"MFSC-0014",50
"MFSC-0015",50
"MFSC-0016",50
"MFSC-0017",50
"MFSC-0018",50
"MFSC-0019",50
"MFSC-0020",50
"MFSC-0021",50
"MFSC-0022",50
"MFSC-0023",50
"MFSC-0024",50
"MFSC-0025",50
"MFSC-0026",50
"MFSC-0027",50
"MFSC-0028",50
"MFSC-0029",50
"MFSC-0030",50
"MFSC-0031",50
"MFSC-0032",50
"MFSC-0033",50
"MFSC-0034",50
"MFSC-0035",50
"MFSC-0036",50
"MFSC-0037",50
"MFSC-0038",50
"MFSC-0039",50
"MFSC-0040",50
"MFSC-0041",50
"MFSC-0042",50
"MFSC-0043",50
"MFSC-0044",50
"MFSC-0045",50
"MFSC-0046",50
"MFSC-0047",50
"MFSC-0048",50
"MFSC-0049",50
"MFSC-0050",50
"MFSC-0051",50
"MFS-0342",50
"MFS-0343",50
"MFS-0344",50
"MFS-0345",50
"MFS-0346",50
"MFSC-0057",50
"MFSC-0058",50
"MFSC-0059",50
"MFSC-0060",50
"MFSC-0061",50
"MFSC-0062",50
"MFSC-0063",50
"MFSC-0064",50
"MFSC-0065",50
"MFSC-0066",50
"MFSC-0067",50
"MFSC-0068",50
"MFSC-0069",50
"MFSC-0070",50
"MFSC-00070",50
"MFSC-00071",50
"MFSC-0071",50
"MFSC-0072",50
"MFSC-0073",50
"MFSC-0074",50
"MFSC-0075",50
"MFSC-0076",50
"MFSC-0077",50
"MFSC-0078",50
"MFSC-0079",50
"MFSC-0080",50
"MFSC-0081",50
"MFSC-0082",50
"MFSC-0083",50
"MFSC-0084",50
"MFSC-0085",50
"MFSC-0086",50
"MFSC-0087",50
"MFSC-0088",50
"MFSC-0089",50
"MFSC-0090",50
"MFSC-0091",50
"MFSC-0092",50
"MFSC-0093",50
"MFSC-0094",50
"MFSC-0095",50
"MFSC-0096",50
"MFSC-0097",50
"MFSC-0098",50
"MFSC-0099",50
"MFSC-0100",50
"MFSC-0101",50
"MFSC-0102",50
"MFSC-0103",50
"MFSC-0104",50
"MFS-0324",0
"MFS-0325",53
"MFS-0326",0
"MFS-0329",34
"MFS-0330",0
"MFS-0332",24
"MFS-0331",30
"MFS-0333",9
"MFS-0334",0
"MFS-0330",0
"MFS-0332",0
"MFS-0331",0
"MFS-0333",0
"MFS-0342",0
"MFS-0343",24
"MFS-0344",0
"MFS-0345",28
"MFS-0346",0
"MFS-0334",88
"MFS-0335",0
"MFS-0335",43
"MFS-0336",28
"MFS-0336",32
"MFS-0329",28
"MFS-0012",10
"MFS-0255",0
"MFS-0256",0
"MFS-0257",0
"MFS-0326",0
"MFS-0325",28
"MFS-0324",0
"MFS-0337",0
"MFS-0337",0
"MFS-0255",76
"MFS-0256",48
"MFS-0257",156
"MFS-0347",0
"MFS-0347",100
"MFS-0348",0
"MFS-0349",0
"MFS-0350",40
"MFS-0350",50
"MFSD-0001",0
"MFSD-0002",0
"MFS-0339",2
"MFS-0339",100
"MFS-0340",0
"MFS-0340",100
"MFS-0341",0
"MFS-0341",100
"MFSD-0003",3
"MFSD-0004",0
"MFSD-0005",3
"MFSD-0006",3
"MFSD-0009",3
"MFSD-0007",3
"MFSD-0008",3
"MFSD-0010",3
"MFSD-0011",0
"MFSD-0012",0
"MFSD-0013",0
"MFSD-0014",3
"MFSD-0015",0
"MFSD-0016",3
"MFSD-0017",3
"MFSD-0018",0
"MFSD-0019",0
"MFSD-0020",3
"MFSD-0021",3
"MFSD-0022",0
"MFSD-0023",3
"MFSD-0024",3
"MFSD-0025",3
"MFSD-0026",0
"MFS-0359",39
"MFS-0359",100
"MFSD-0027",0
"MFS-0362",7
"MFS-0361",14
"MFS-0362",50
"MFS-0361",50
"MFS-0322",0
"MFS-0353",0
"MFS-0353",0
"MFS-0354",0
"MFS-0354",0
"MFS-0365",0
"MFS-0365",0
"MFS-0366",0
"MFS-0366",0
"MFS-9001",50
"MFS-9002",50
"MFS-9003",50
"MFS-9004",50
"MFS-9005",50
"MFS-9006",50
"MFS-9007",50
"MFS-9008",50
"MFS-9009",50
"MFS-9010",50
"MFS-9011",50
"MFS-9012",50
"MFS-9013",50
"MFS-9014",50
"MFS-9015",50
"MFS-9016",50
"MFS-9017",50
"MFS-9018",50
"MFS-9019",50
"MFS-9020",50
"MFS-9021",50
"MFS-9022",50
"MFS-9023",50
"MFS-9024",50
